9,13,35,235,155
9,14,35,235,195
9,15,35,235,235
9,16,35,195,235
9,17,35,155,235
9,18,35,115,235
9,19,35,75,235
9,20,35,35,235
9,21,75,35,235
9,22,115,35,235
9,23,155,35,235
9,24,195,35,235
9,25,235,35,235
9,26,235,35,195
9,27,235,35,155
9,28,235,35,115
9,29,235,35,75
10,0,214,32,32
10,1,214,69,32
10,2,214,105,32
10,3,214,141,32
10,4,214,178,32
10,5,214,214,32
10,6,178,214,32
10,7,141,214,32
10,8,105,214,32
10,9,69,214,32
10,10,32,214,32
10,11,32,214,69
10,12,32,214,105
10,13,32,214,141
10,14,32,214,178
10,15,32,214,214
10,16,32,178,214
10,17,32,141,214
10,18,32,105,214
10,19,32,69,214
10,20,32,32,214
10,21,69,32,214
10,22,105,32,214
10,23,141,32,214
10,24,178,32,214
10,25,214,32,214
10,26,214,32,178
10,27,214,32,141
10,28,214,32,105
10,29,214,32,69
11,0,194,29,29
11,1,194,62,29
11,2,194,95,29
11,3,194,128,29
11,4,194,161,29
11,5,194,194,29
11,6,161,194,29
11,7,128,194,29
11,8,95,194,29
11,9,62,194,29
11,10,29,194,29
11,11,29,194,62
11,12,29,194,95
11,13,29,194,128
11,14,29,194,161
11,15,29,194,194
11,16,29,161,194
11,17,29,128,194
11,18,29,95,194
11,19,29,62,194
11,20,29,29,194
11,21,62,29,194
11,22,95,29,194
11,23,128,29,194
11,24,161,29,194
11,25,194,29,194
11,26,194,29,161
11,27,194,29,128
11,28,194,29,95
11,29,194,29,62
12,0,173,26,26
12,1,173,55,26
12,2,173,85,26
12,3,173,114,26
12,4,173,144,26
12,5,173,173,26
12,6,144,173,26
12,7,114,173,26
12,8,85,173,26
12,9,55,173,26
12,10,26,173,26
12,11,26,173,55
12,12,26,173,85
12,13,26,173,114
12,14,26,173,144
12,15,26,173,173
12,16,26,144,173
12,17,26,114,173
12,18,26,85,173
12,19,26,55,173
12,20,26,26,173
12,21,55,26,173
12,22,85,26,173
12,23,114,26,173
12,24,144,26,173
12,25,173,26,173
12,26,173,26,144
12,27,173,26,114
12,28,173,26,85
12,29,173,26,55
13,0,153,23,23
13,1,153,49,23
13,2,153,75,23
13,3,153,101,23
13,4,153,127,23
13,5,153,153,23
13,6,127,153,23
13,7,101,153,23
13,8,75,153,23
13,9,49,153,23
13,10,23,153,23
13,11,23,153,49
13,12,23,153,75
13,13,23,153,101
13,14,23,153,127
13,15,23,153,153
13,16,23,127,153
13,17,23,101,153
13,18,23,75,153
13,19,23,49,153
13,20,23,23,153
13,21,49,23,153
13,22,75,23,153
13,23,101,23,153
13,24,127,23,153
13,25,153,23,153
13,26,153,23,127
13,27,153,23,101
13,28,153,23,75
13,29,153,23,49
14,0,133,20,20
14,1,133,42,20
14,2,133,65,20
14,3,133,88,20
14,4,133,110,20
14,5,133,133,20
14,6,110,133,20
14,7,88,133,20
14,8,65,133,20
14,9,42,133,20
14,10,20,133,20
14,11,20,133,42
14,12,20,133,65
14,13,20,133,88
14,14,20,133,110
14,15,20,133,133
14,16,20,110,133
14,17,20,88,133
14,18,20,65,133
14,19,20,42,133
14,20,20,20,133
14,21,42,20,133
14,22,65,20,133
14,23,88,20,133
14,24,110,20,133
14,25,133,20,133
14,26,133,20,110
14,27,133,20,88
14,28,133,20,65
14,29,133,20,42
15,0,112,17,17
15,1,112,36,17
15,2,112,55,17
15,3,112,74,17
15,4,112,93,17
15,5,112,112,17
15,6,93,112,17
15,7,74,112,17
15,8,55,112,17
15,9,36,112,17
15,10,17,112,17
15,11,17,112,36
15,12,17,112,55
15,13,17,112,74
15,14,17,112,93
15,15,17,112,112
15,16,17,93,112
15,17,17,74,112
15,18,17,55,112
15,19,17,36,112
15,20,17,17,112
15,21,36,17,112
15,22,55,17,112
